"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","Schedule an estimate now"," I want a new system Get an estimate",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","Schedule an estimate now","Let us help you decide what’s best for you and the needs of your home.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","Schedule an estimate now","We believe what matters most is having the job done right by the right people.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","Schedule an estimate now","Trust Holliday Heating for the installation or replacement of your AC",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","Schedule an estimate now","We stand behind the most comprehensive, exclusive guarantees you’ll find.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","Satisfaction Guaranteed"," I want a new system Get an estimate",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","Satisfaction Guaranteed","Let us help you decide what’s best for you and the needs of your home.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","Satisfaction Guaranteed","We believe what matters most is having the job done right by the right people.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","Satisfaction Guaranteed","Trust Holliday Heating for the installation or replacement of your AC",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","Satisfaction Guaranteed","We stand behind the most comprehensive, exclusive guarantees you’ll find.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","24 Hour Service"," I want a new system Get an estimate",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","24 Hour Service","Let us help you decide what’s best for you and the needs of your home.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","24 Hour Service","We believe what matters most is having the job done right by the right people.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","24 Hour Service","Trust Holliday Heating for the installation or replacement of your AC",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","24 Hour Service","We stand behind the most comprehensive, exclusive guarantees you’ll find.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","100% money back guarantee."," I want a new system Get an estimate",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","100% money back guarantee.","Let us help you decide what’s best for you and the needs of your home.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","100% money back guarantee.","We believe what matters most is having the job done right by the right people.",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","100% money back guarantee.","Trust Holliday Heating for the installation or replacement of your AC",air-conditioning,installation-replacement
"AC Install",Headline,Enabled,All,http://www.hollidayheating.com/cooling/air-conditioning/installation-replacement/,"AC Install & Replace","100% money back guarantee.","We stand behind the most comprehensive, exclusive guarantees you’ll find.",air-conditioning,installation-replacement
